Réseau,Produit,Années d'exercice,Garantie,Les primes émises_garantie Décès 2022,(REC/Provisions Mathématiques)_Décès au 01/01/2022,Provisions pour SAP AU 01/01/2022,TOTAL  CREDIT,Les sinistres payés_Décès de l'éxercice 2022,(REC/Provisions Mathématiques)_Décès au 31/12/2022,Provisions pour SAP au 31/12/2022,Report du solde Débiteur eventuel des exercices anterieurs ,TOTAL DEBIT,Résultat technique,Charge sinistre (N),Charge sinistre (N-1),Charge sinistre (N-2),Charge sinistre (N-3),NB d'année contrat,MOYENNE,Provision d'égalisation
R1,ADE,2022,Décés,1393576062.89,3998783184.7771187,58470719.75,5450829967.417119,74012280.61,5231401612.987488,96001411.12999998,0,5401415304.727488,49414662.68963146,111542971.98999998,21799957.339999996,48586088.27,120556798.71000001,3,63647614.77333333,9547142.216
C1,prévoyance,2022,Décés,57509.64,4106.951147540984,0,61616.59114754098,0,4884.380383561644,0,0,4884.380383561644,56732.21076397934,0,0,0,0,,0,0
C2,prévoyance,2022,Décés,687897,0,0,687897,0,0,0,0,0,687897,0,0,0,0,,0,0
C3,prévoyance,2022,Décés,1557035.35,203633.58279452057,0,1760668.9327945206,2000000,245457.31528767126,0,3297879.7830467,5543337.098334371,-3782668.1655398505,2000000,2000000,4200000,0,,2066666.6666666667,0
C4,prévoyance,2022,Décés,724619.52,210848.19287671233,0,935467.7128767123,300000,238231.07506849314,0,0,538231.0750684931,397236.6378082192,300000,300000,0,0,,100000,15000
C5,prévoyance,2022,Décés,1411104.791862241,0,0,1411104.791862241,1500000,96651.01314124938,500000,0,2096651.0131412493,-685546.2212790083,2000000,2000000,0,0,,666666.6666666666,0
C6,prévoyance,2022,Décés,49555.2,0,0,49555.2,0,0,0,0,0,49555.2,0,0,0,0,,0,0
C7,prévoyance,2022,Décés,206207.65358241944,0,0,206207.65358241944,0,13558.859413638538,0,0,13558.859413638538,192648.7941687809,0,0,0,0,,0,0
C8,prévoyance,2022,Décés,19905.3897237595,11264.269171075413,0,31169.658894834916,0,13252.081377735778,0,0,13252.081377735778,17917.57751709914,0,0,0,0,,0,0
C9,prévoyance,2022,Décés,1815901.92,0,0,1815901.92,0,0,0,0,0,1815901.92,0,0,0,0,,0,0
